elapsedSec,produced,signal,pull,widget
1,31,30,30,45
2,61,60,60,45
3,91,90,90,45
4,121,120,120,45
5,151,150,150,45
6,181,180,180,45
7,211,210,210,45
8,241,240,240,45
9,271,270,270,45
10,301,300,300,45
11,331,330,330,45
12,361,360,360,45
13,391,390,389,46
14,421,420,419,46
15,451,450,449,47
16,481,480,479,47
17,511,510,509,47
18,541,540,539,47
19,571,570,569,47
20,601,600,599,47
21,631,630,629,47
22,661,660,659,47
23,691,690,689,47
24,721,720,719,47
25,751,750,749,47
26,781,780,779,47
27,811,810,809,47
28,841,840,839,47
29,871,870,869,47
30,901,900,899,48
31,931,930,929,48
32,961,960,959,48
33,991,990,989,48
34,1021,1020,1019,48
35,1051,1050,1049,48
36,1081,1080,1079,48
37,1111,1110,1109,49
38,1141,1140,1139,49
39,1171,1170,1169,49
40,1201,1200,1199,49
41,1231,1230,1229,49
42,1261,1260,1259,49
43,1291,1290,1289,49
44,1321,1320,1319,49
45,1351,1350,1349,49
46,1381,1381,1380,49
47,1411,1410,1409,49
48,1441,1440,1439,49
49,1471,1470,1469,49
50,1501,1500,1499,49
51,1531,1530,1529,49
52,1561,1560,1559,49
53,1591,1590,1589,49
54,1621,1620,1619,49
55,1651,1650,1649,49
56,1681,1680,1679,49
57,1711,1710,1709,49
58,1741,1740,1739,49
59,1771,1770,1769,49
60,1801,1800,1799,49
